"Area";"Timestamp";"Age group";2963691;2997558
"All Denmark";"2024M01";"0-4 years";157540;149098
"All Denmark";"2024M01";"5-9 years";159866;151243
"All Denmark";"2024M01";"10-14 years";164296;156225
"All Denmark";"2024M01";"15-19 years";179755;171158
"All Denmark";"2024M01";"20-24 years";190874;184804
"All Denmark";"2024M01";"25-29 years";208974;200741
"All Denmark";"2024M01";"30-34 years";205737;198145
"All Denmark";"2024M01";"35-39 years";182255;175657
"All Denmark";"2024M01";"40-44 years";170871;169443
"All Denmark";"2024M01";"45-49 years";188230;189003
"All Denmark";"2024M01";"50-54 years";195215;195716
"All Denmark";"2024M01";"55-59 years";209042;207816
"All Denmark";"2024M01";"60-64 years";182558;185533
"All Denmark";"2024M01";"65-69 years";159785;167229
"All Denmark";"2024M01";"70-74 years";141463;154475
"All Denmark";"2024M01";"75-79 years";135370;153258
"All Denmark";"2024M01";"80-84 years";79671;99931
"All Denmark";"2024M01";"85-89 years";37989;56456
"All Denmark";"2024M01";"90-94 years";11796;23638
"All Denmark";"2024M01";"95-99 years";2231;6984
"All Denmark";"2024M01";"100-104 years";168;961
"All Denmark";"2024M01";"105-109 years";5;43
"All Denmark";"2024M01";"110 years +";0;1
